,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
348,Mangrul Pir,IN,20.32,77.35,80.65,74,28,3.51,scattered clouds
349,Bereda,ES,43.27,-7.54,66.99,68,9,7.0,clear sky
350,Obidos,BR,-1.92,-55.52,97.59,32,78,7.58,broken clouds
351,Bonthe,SL,7.53,-12.51,78.76,83,100,12.84,light rain
352,Umm Lajj,SA,25.02,37.27,89.65,58,1,6.49,clear sky
353,Khatanga,RU,71.97,102.5,39.6,80,0,4.18,clear sky
354,Zhezkazgan,KZ,47.8,67.71,50.0,34,1,8.95,clear sky
355,Aden,YE,12.78,45.04,86.38,71,33,8.72,scattered clouds
356,Esmeraldas,BR,-19.76,-44.31,86.0,25,0,8.05,clear sky
357,Springbok,ZA,-29.66,17.89,59.0,40,0,2.44,clear sky
358,Savalou,BJ,7.93,1.98,79.56,86,51,5.75,moderate rain
359,Quepos,CR,9.42,-84.17,80.01,69,40,5.82,scattered clouds
